equipa,jogos_jogados,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,pontos
Porto,17,15,2,0,50,11,+39,47
Sporting CP,17,14,1,2,34,8,+26,43
Sporting Braga,17,10,4,3,27,13,+14,34
Benfica,17,10,3,4,36,16,+20,33
Vitoria Guimaraes,17,9,3,5,34,20,+14,30
Santa Clara,17,8,6,3,24,23,+1,30
Gil Vicente,17,6,6,5,25,19,+6,24
Famalicao,17,5,7,5,22,21,+1,22,
Boavista FC,17,4,10,3,20,20,0,22
Pacos de Ferreira,17,5,6,6,19,22,-3,21
GD Estoril Praia,17,4,8,5,21,21,0,20
FC Vizela,17,4,7,6,16,21,-5,19
FC Arouca,17,5,4,8,15,29,-14,19
CS Maritimo,17,4,6,7,19,17,+2,18
Moreirense FC,17,5,3,9,22,23,-1,18
Belenenses SAD,17,5,3,9,15,30,-15,18
Portimonense,17,4,4,9,15,22,-7,16
CD Tondela,17,4,4,9,24,33,-9,16
