equipa,jogos_jogados,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,pontos
Porto,17,14,2,1,36,11,+25,44
Sporting CP,17,13,3,1,39,15,+24,42
Benfica,17,13,2,2,42,14,+28,41
Sporting Braga,17,9,4,4,25,18,+7,31
Gil Vicente,17,7,6,4,22,23,-1,27
Portimonense,17,6,4,7,16,23,-7,22
CS Maritimo,17,5,5,7,20,27,-7,20
GD Estoril Praia,17,5,4,8,15,22,-7,19
Vitoria Guimaraes,17,4,6,7,16,21,-5,18
Famalicao,17,4,5,8,23,30,-7,17
Pacos de Ferreira,17,4,5,8,10,22,-12,17
Boavista FC,17,3,7,7,19,32,-13,16
FC Vizela,17,3,5,9,21,37,-16,14
FC Arouca,17,2,6,9,15,25,-10,12
CD Tondela,17,3,3,11,17,34,-17,12
Moreirense FC,17,2,5,10,11,28,-17,11
Santa Clara,17,1,7,9,14,31,-17,10
Belenenses SAD,17,0,8,9,8,25,-17,8
