equipa,jogos_jogados,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,pontos
FC Porto,34,21,10,3,40,14,+26,73
Sporting,34,20,11,3,31,10,+21,71
Benfica,34,19,9,6,41,13,+28,66
Braga,34,12,16,6,22,12,+10,52
Estoril,34,10,16,8,20,16,+4,46
Santa Clara,34,11,12,11,20,19,+1,45
Pacos de Ferreira,34,10,14,10,16,16,0,44
Portimonense,34,10,13,11,17,20,-3,43
CD Tondela,34,10,12,12,19,25,-6,42
Vitoria Guimaraes,34,8,17,9,17,20,-3,41
CS Maritimo,34,7,19,8,19,24,-5,40
Famalicao,34,8,15,11,22,27,-5,39
Boavista FC,34,9,10,15,17,26,-9,37
FC Vizela,34,6,17,11,16,22,-6,35
Gil Vicente,34,5,20,9,15,16,-1,35
Moreirense FC,34,7,12,15,13,23,-10,33
Belenenses SAD,34,5,13,16,11,32,-21,28
FC Arouca,34,5,10,19,10,31,-21,25
