equipa,jogos_jogados,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,pontos
Porto,17,12,4,1,24,6,+18,40
Sporting CP,17,11,4,2,12,3,+9,37
Santa Clara,17,8,6,3,13,6,+7,30
GD Estoril Praia,17,6,10,1,14,7,+7,28
Benfica,17,7,6,4,16,7,+9,27
Sporting Braga,17,5,10,2,9,4,+5,25
Pacos de Ferreira,17,6,7,4,11,8,+3,25
Portimonense,17,6,6,5,10,10,0,24
Boavista FC,17,7,2,8,8,11,-3,23
Vitoria Guimaraes,17,5,8,4,11,11,0,23
CD Tondela,17,6,5,6,12,14,-2,23
CS Maritimo,17,3,12,2,11,9,+2,21
Gil Vicente,17,3,11,3,9,6,+3,20
Moreirense FC,17,5,5,7,11,12,-1,20
Belenenses SAD,17,5,5,7,8,17,-9,20
Famalicao,17,3,9,5,10,12,-2,18
FC Vizela,17,3,8,6,6,10,-4,17
FC Arouca,17,2,5,10,2,16,-14,11
