equipa,jogos_jogados,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,pontos
Benfica,17,12,3,2,25,6,+19,39
Sporting CP,17,9,7,1,19,7,+12,34
Porto,17,9,6,2,16,8,+8,33
Sporting Braga,17,7,6,4,13,8,+5,27
Famalicao,17,5,6,6,12,15,-3,21
CD Tondela,17,4,7,6,7,11,-4,19
Pacos de Ferreira,17,4,7,6,5,8,-3,19
Portimonense,17,4,7,6,7,10,-3,19
CS Maritimo,17,4,7,6,8,15,-7,19
FC Vizela,17,3,9,5,10,12,-2,18
Vitoria Guimaraes,17,3,9,5,6,9,-3,18
GD Estoril Praia,17,4,6,7,6,9,-3,18
Gil Vicente,17,2,9,6,6,10,-4,15
Santa Clara,17,3,6,8,7,13,-6,15
Boavista FC,17,2,8,7,9,15,-6,14
FC Arouca,17,3,5,9,8,15,-7,14
Moreirense FC,17,2,7,8,2,11,-9,13
Belenenses SAD,17,0,8,9,3,15,-12,8
