nome_guarda_redes,clube,numero_defesas
Andre Ferreira,Pacos Ferreira,108
Luiz Felipe,Belenenses SAD,106
Samuel,Portimonense,99
Pedro Trigueira,Tondela,98
Paulo Victor,Maritimo,98
Junior,Famalicao,89
Bruno Varela,Vitoria de Guimaraes,80
Odysseas Vlachodimos,Benfica,78
Matheus,Sporting de Braga,76
Marco,Santa Clara,72
Dani Figueira,Estoril,70
Victor Braga,FC Arouca,64
Pedro Silva,FC Vizela,62
Adan,Sporting CP,62
Bracali,Boavista FC,57
Frelih,Gil Vicente,54
Diogo Costa,FC Porto,51
Pasinato,Moreirense,49
Charles,FC Vizela,46
Kewin Silva,Moreirense FC,43
