nome_jogador,clube,numero_golos
Darwin Nunez,SL Benfica,26
Mehdi Taremi,FC Porto,20
Ricardo Horta,Sporting de Braga,19
Francisco Navarro,Gil Vicente,16
Pablo Sarabia,Sporting CP,15
Oscar Estupinan,Vitoria de Guimaraes,15
Luis Diaz,FC Porto,14
Evanilson,FC Porto,14
Banza,Famalicao,14
Samuel Lino,Gil Vicente,12
Musa,Boavista FC,11
Paulinho,Sporting CP,11
Andre Franco,Estoril,11
Marcus Edwards,Sporting CP,10
Joel Tagueu,Maritimo,9
Andre Silva,FC Arouca,9
Schettine,FC Vizela,8
Joao Pedro,CD Tondela,8
Pote,Sporting CP,8
Rafa,SL Benfica,8
